location account number,(owners) business name,doing business as :,Business Address,City,Phone #,Address + Phone,Mailing Address,City (mailing),phone #,NAICS #,Industry Tag,Council Tag,Business Start,Business End,Longitute,Latitude
0000274211-0001-8,ISAAC LAUFER,PRACTICE MANANGEMENT GROUP,2038 S BENTLEY AVENUE   #101,LOS ANGELES,90025-5641,2038 BENTLEY 90025-5641,2038 S BENTLEY AVENUE   SUITE #101,LOS ANGELES,90025-5696,541600,"Management, scientific, & technical consulting services",5,1/1/2001,,"(34.0426, -118.4383)",
0002940026-0001-7,DAVID KEMPER,ARLENES BEAUTY RETREAT,7451   AMESTOY AVENUE,VAN NUYS,91406-2515,7451 AMESTOY 91406-2515,3800 ROYAL MEADOW ROAD,SHERMAN OAKS,91403-4831,711510,"Independent artists, writers, & performers",6,1/1/2011,,"(34.2063, -118.5062)",
0002870895-0001-7,GREAT MINDS CREATIVE PRODUCTIONS LLC,GREAT MINDS,1411 N EVERGREEN STREET,BURBANK,91505-2004,1411 EVERGREEN 91505-2004,816 N KENMORE AVENUE,LOS ANGELES,90029-2510,711100,Performing arts companies,0,3/9/2015,,"(34.1734, -118.3561)",
0002911219-0001-1,ALL AROUND TOW SERVICES LLC,INPRINT,2215 W VERNON AVENUE,LOS ANGELES,90008-4035,2215 VERNON 90008-4035,POST OFFICE BOX #94864,PASADENA,91109-4864,812990,All other personal services,8,12/28/2015,,"(34.004, -118.318)",
0002490180-0002-2,GATEWAY CONSULTING,A10 WIRELESS,8340 VAN NUYS BLVD UNIT #I,PANORAMA CITY,91402-3761,8340 VAN NUYS 91402-3761,2746   OPHELIA COURT,SIMI VALLEY,93063-6549,423600,Electrical & electronic goods,6,9/4/2013,,"(34.2228, -118.4486)",
0002591075-0001-8,AMY TENOWICH,DFS GROUP LP,5752   CRANER AVENUE,NORTH HOLLYWOOD,91601-2015,5752 CRANER 91601-2015,5752   CRANER AVENUE,NORTH HOLLYWOOD,91601-2015,711510,"Independent artists, writers, & performers",2,7/1/2011,,"(34.1754, -118.3689)",
0002477121-0001-5,AFSANEH ABYARI,SUIT FASHION USA,1227 SANTEE STREET,LOS ANGELES,90015-2544,1227 SANTEE 90015-2544,17301   BIRCHER STREET,GRANADA HILLS,91344-2413,448110,Men's clothing stores,14,12/28/2009,,"(34.036, -118.2575)",
0002701606-0001-0,STUDIO BABCOCK LLC,FREDERICK L GREENE COPYWRITING,4342   BABCOCK AVENUE      #,STUDIO CITY,91604-1556,4342 BABCOCK 91604-1556,11110   OHIO AVENUE   #205,LOS ANGELES,90025-3388,233210,Single Family Housing Construction (1997 NAICS),2,1/1/2015,,"(34.1444, -118.3938)",
0003002900-0001-1,DAWN ABERDEEN,BRASS TACKS COMMUNICATIONS,4133   REDWOOD AVENUE   UNIT #2008,LOS ANGELES,90066-5624,4133 REDWOOD 90066-5624,,,,812990,All other personal services,11,3/29/2017,,"(33.99, -118.4403)",
0002707623-0001-7,ANCHOR PROJECT SERVICES LLC,ALL CLEAR POOL SERVICE,5230   LAS VIRGENES ROAD   SUITE #105,CALABASAS,91302-3447,5230 LAS VIRGENES 91302-3447,5230   LAS VIRGENES ROAD   SUITE #105,CALABASAS,91302-3447,233210,Single Family Housing Construction (1997 NAICS),0,10/15/2013,,"(34.1508, -118.6974)",
0002997706-0001-0,RUDHY MORALES CUELLAR,EXPRESS SHOE LAB,9706   SALOMA AVENUE,NORTH HILLS,91343-2436,9706 SALOMA 91343-2436,POST OFFICE BOX #19861,LOS ANGELES,90019-0861,233210,Single Family Housing Construction (1997 NAICS),7,1/1/2015,,"(34.2468, -118.4573)",
0002913710-0001-6,BANNED INJUNCTION LLC,PSN PRODUCTIONS,7651   LAUREL CANYON BLVD   APARTMENT #205,NORTH HOLLYWOOD,91605-7417,7651 LAUREL CANYON 91605-7417,16419 CALAHAN STREET,NORTHRIDGE,91343-3701,315000,Apparel mfg.,2,8/15/2015,,"(34.2101, -118.3972)",
0002911482-0001-1,KERRI MCGUFF,BRINCOS DIERAS JUMPERS,25011   PEACHLAND AVENUE   UNIT #132,NEWHALL,91321-2526,25011 PEACHLAND 91321,POST OFFICE BOX #5214,MONTECITO,93150-5214,532290,Other consumer goods rental,0,5/21/2016,,"(34.3772, -118.5486)",
0002920166-0001-7,TA DAH WEB LLC,TA DAH WEB,616   ST PAUL AVENUE   #543,LOS ANGELES,90017-2022,616 ST PAUL 90017-2022,4022 VAN HORNE AVENUE,LOS ANGELES,90032-1146,541800,Advertising & related services,1,11/1/2014,,"(34.0527, -118.2609)",
0002931558-0001-9,DETOUR PLUMBING SERVICES INC,MILES R COOPERMAN TR COOPERMAN FAMILY TRUST,27377   SIERRA HIGHWAY,CANYON COUNTRY,91351-3052,27377 SIERRA 91351-3052,POST OFFICE BOX #55397,SHERMAN OAKS,91413-0397,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",0,9/8/2016,,"(34.4112, -118.4585)",
0002525701-0002-4,LUIS ARRIAGA,L & T PRODUCE,4718 S VERMONT AVENUE,LOS ANGELES,90037-2964,4718 VERMONT 90037-2964,9038   BIGBY STREET,DOWNEY,90241-2725,722300,Special food services (including food service contractors & caterers),9,1/15/2016,,"(34, -118.2911)",
0002852956-0001-7,PARUT THONGEIAM,WEST PAC DESIGNS,12101 PACIFIC AVENUE APARTMENT #12,LOS ANGELES,90066-3895,12101 PACIFIC 90066,12101 PACIFIC AVENUE APARTMENT #12,LOS ANGELES,90066-3895,454210,Vending machine operators,11,9/10/2015,,"(34.0045, -118.4293)",
0002193730-0002-9,BENEFIT CORPORATION,NACCC,5527 S CENTRAL AVENUE,LOS ANGELES,90011-4729,5527 CENTRAL 90011-4729,11601 WILSHIRE BLVD SUITE #2150,LOS ANGELES,90025-1757,888888,Medical Marijuana Collective,9,4/6/2007,,"(33.9919, -118.2568)",
0002934529-0001-4,PARKING LLC,PAYPARK,5437   LAUREL CANYON BLVD   SUITE #102,VALLEY VILLAGE,91607-2193,5437 LAUREL CANYON 91607-2193,4805 SOUTHRIDGE AVENUE,LOS ANGELES,90043-1503,812930,Parking lots & garages,2,9/22/2016,,"(34.1697, -118.3971)",
0002810716-0001-6,"SUNSET BENTLEY APARTMENTS, LLC",MARGARET BEAUTY STUDIO,11693 SAN VICENTE BLVD SUITE #220,LOS ANGELES,90049-5105,11693 SAN VICENTE 90049-5105,POST OFFICE BOX #1469,PACIFIC PALISADES,90272-1469,531100,Lessors of real estate (including mini warehouses & self-storage units),11,1/1/2015,,"(34.0537, -118.4654)",
0002002259-0001-8,SYSTEMS XT INC,TOPAZ PEARLS,1910 E VIA BURTON     #A,ANAHEIM,92806-1228,1910 VIA BURTON 92806-1228,1910A E VIA BURTON,ANAHEIM,92806-1215,531100,Lessors of real estate (including mini warehouses & self-storage units),0,11/7/2013,,"(33.8558, -117.8906)",
0002915437-0001-5,SUPRANEE PIMMARLEEJA,KHUNDANG THAI RESTAURANT CHATSWORTH,10134   TOPANGA CANYON BLVD,CHATSWORTH,91311-2801,10134 TOPANGA CANYON 91311-2801,4311 WILSHIRE BLVD SUITE #600,LOS ANGELES,90010-3717,722110,Full-service restaurants,12,6/16/2016,,"(34.2551, -118.6059)",
0002889075-0001-6,RMARK ENTERPRISE INC,RMARK ENTERPRISE INC,3324   GREENFIELD AVENUE,LOS ANGELES,90034-3020,3324 GREENFIELD 90034-3020,10475   EASTBORNE AVENUE   SUITE #103,LOS ANGELES,90024-1705,541600,"Management, scientific, & technical consulting services",5,11/1/2015,,"(34.0239, -118.4201)",
0000411842-0001-3,STODDARD INC,,9100   WILSHIRE BLVD   SUITE #1000W,BEVERLY HILLS,90212-3463,9100 WILSHIRE 90212-3463,POST OFFICE BOX #5623,BEVERLY HILLS,90209-5623,512200,Sound recording industries,0,1/20/2006,,"(34.067, -118.3897)",
0002971421-0001-3,MARIA GONZALEZ,GENESIS AUTO BODY SHOP & TIRES,4926 S VERMONT AVENUE,LOS ANGELES,90037-2944,4926 VERMONT 90037-2944,6141   MARBRISA AVENUE   APARTMENT #B,HUNTINGTON PARK,90255-3578,811110,Automotive mechanical & electrical repair & maintenance,9,2/27/2017,,"(33.998, -118.2912)",
0000110007-0001-2,AJR INVESTMENT PARTNERSHIP LP,A.R. PROPERTIES,225 N CAROLWOOD DRIVE,LOS ANGELES,90077-3535,225 CAROLWOOD 90077-3535,10100   SANTA MONICA BLVD   SUITE #300,LOS ANGELES,90067-4107,531100,Lessors of real estate (including mini warehouses & self-storage units),5,2/1/1976,,"(34.0822, -118.4262)",
0002942707-0001-6,"KNIGHTTIME, INC.",MANY LEVELS,1201 N LAS PALMAS AVENUE,LOS ANGELES,90038-1210,1201 LAS PALMAS 90038-1210,16255   VENTURA BLVD   SUITE #625,ENCINO,91436-2307,711510,"Independent artists, writers, & performers",4,9/1/2016,,"(34.0927, -118.3365)",
0002788430-0001-9,T2J INC,G & N INVESTMENTS,1600   WILSHIRE BLVD   #330,LOS ANGELES,90017-1629,1600 WILSHIRE 90017-1629,3350 WILSHIRE BLVD SUITE #1230,LOS ANGELES,90010-1834,531100,Lessors of real estate (including mini warehouses & self-storage units),1,9/2/2014,,"(34.0553, -118.2706)",
0002978595-0001-6,ANH NGUYEN,WESTSIDE FANCY NAILS,10747 W PICO BLVD,LOS ANGELES,90064-2219,10747 PICO 90064-2219,POST OFFICE BOX #7000,TORRANCE,90504-0700,812113,Nail salons,5,1/1/2017,,"(34.0413, -118.4263)",
0002863078-0045-5,T-MOBILE LEASING LLC,CRABTREE & EVELYN,18957   VENTURA BLVD,TARZANA,91356-3229,18957 VENTURA 91356-3229,2711   CENTERVILLE ROAD,WILMINGTON,19808-1660,443112,"Radio, television, & other electronics stores",3,11/16/2015,,"(34.1728, -118.5465)",
0002892412-0001-9,MAYA PITZER,SECURITY CAMERA SOLUTION / STEPHEN RODRIGUEZ,4421 W KLING STREET   APARTMENT #5,BURBANK,91505-3752,4421 KLING 91505,4421 W KLING STREET   APARTMENT #5,BURBANK,91505-3752,512200,Sound recording industries,0,2/18/2016,,"(34.1563, -118.3505)",
0002918978-0001-7,BARCELO & WEBB LLC,DIY DROPSHIP LLC,10911   PEACH GROVE STREET   #3,NORTH HOLLYWOOD,91601-4655,10911 PEACH GROVE 91601-4655,8132 FIRESTONE BLVD #132,DOWNEY,90241-4231,523900,Other financial investment activities (including investment advice),2,3/5/2016,,"(34.1593, -118.3684)",
0002559284-0001-6,OMAR K COWAN,OMAR VELASCO,1534   KILLARNEY AVENUE,LOS ANGELES,90065-1814,1534 KILLARNEY 90065-1814,1534   KILLARNEY AVENUE,LOS ANGELES,90065-1814,711510,"Independent artists, writers, & performers",1,2/15/2010,,"(34.1008, -118.2277)",
0002948742-0001-1,SOLVAY FLUORIDES LLC,CATY MAXEY,504   CARNEGIE CENTER,PRINCETON,08540-6241,504 CARNEGIE 08540-6241,,,,425120,Wholesale trade agents & brokers,0,1/2/2017,,"(40.312, -74.653)",
0002963707-0001-6,"AUTISM SPECTRUM SUPPORT CENTER, LLC",PANORAMA PUBLISHING CO,633 W 5TH STREET   FLOOR #26,LOS ANGELES,90071-2053,633 5TH 90071,633 W 5TH STREET   FLOOR #26,LOS ANGELES,90071-2053,424920,"Books, periodicals, & newspapers",14,1/1/2017,,"(34.051, -118.2545)",
0002943194-0001-3,DAYSY HERNANDEZ,GRANADA HILLS FIRST BAPTIST,3518   4TH AVENUE,LOS ANGELES,90018-3730,3518 4TH 90018-3730,1248 KEWEN STREET,SAN FERNANDO,91340-3928,561720,Janitorial services,10,3/1/2013,,"(34.0239, -118.3212)",
0002962254-0001-2,KYLE SMITH,ECO LANDWORKS,4626   BELLA VISTA DRIVE,MOORPARK,93021-2205,4626 BELLA VISTA 93021-2205,4626   BELLA VISTA DRIVE,MOORPARK,93021-2205,238990,All other specialty trade contractors,0,5/1/2016,,"(34.2742, -118.8762)",
0002995133-0001-3,OSCAR GIL,THE PALACE COSTUME CO,200 S MEDNIK AVENUE   #103,LOS ANGELES,90022-1661,200 MEDNIK 90022-1661,11907   GARFIELD AVENUE   #A,SOUTH GATE,90280-7849,812990,All other personal services,0,1/4/2016,,"(34.0348, -118.1617)",
0002483830-0001-9,WILSTER APPAREL GROUP LLC,DEL BAJIO TORTILLAS,860 S LOS ANGELES STREET   SUITE #949,LOS ANGELES,90014-3351,860 LOS ANGELES 90014-3351,9515 DEERECO ROAD SUITE #801,TIMONIUM,21093-2169,424300,"Apparel, piece goods, & notions",14,7/1/2009,,"(34.0407, -118.2535)",
0000411466-0001-6,CALIBER BODYWORKS INC,CALIBER COLLISION CENTERS,1925 WILCOX AVENUE,LOS ANGELES,90068-3813,1925 WILCOX 90068-3813,401 E CORPORATE DRIVE SUITE #150,LEWISVILLE,75057-6449,811120,"Automotive body, paint, interior, & glass repair",4,11/18/1996,,"(34.1057, -118.3308)",
0002952571-0001-4,JACOB ZEBEDE,YISSELA AGUILAR TAX AND FINANCIAL SERVICES,3746   CARMONA AVENUE   APARTMENT #2,LOS ANGELES,90016-5155,3746 CARMONA 90016-5155,18121 PARTHENIA STREET UNIT #A,NORTHRIDGE,91325-3351,711510,"Independent artists, writers, & performers",10,1/5/2015,,"(34.0187, -118.3668)",
0002418458-0001-1,REGINALDO VALDEZ JR,ALL IN ONE ROOFING CO,862 SKYLER WAY,BREA,92821-2381,862 SKYLER 92821-2381,POST OFFICE BOX #1461,BREA,92822-1461,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",0,9/12/2016,,"(33.9334, -117.9099)",
0002968043-0001-1,LITSHIELD,,5250   COLODNY DRIVE   APARTMENT #24,AGOURA HILLS,91301-2659,5250 COLODNY 91301,5250   COLODNY DRIVE   APARTMENT #24,AGOURA HILLS,91301-2659,541990,"All other professional, scientific, & technical services",0,5/11/2016,,"(34.1445, -118.7418)",
0002979938-0001-8,"USA PROMO ITEMS, LLC",SUBWAY #48845,16651   BUTANO PLACE,FONTANA,92336-2075,16651 BUTANO 92336-2075,16651   BUTANO PLACE   SPACE,FONTANA,92336-2075,541800,Advertising & related services,0,4/17/2017,,"(34.1205, -117.4413)",
0002981059-0001-4,141 CENTRAL AVE LLC,PRIME PIZZA,141 S CENTRAL AVENUE,LOS ANGELES,90012-3912,141 CENTRAL 90012,141 S CENTRAL AVENUE,LOS ANGELES,90012-3912,722110,Full-service restaurants,14,4/12/2017,,"(34.0486, -118.2394)",
0002661045-0001-3,SHIRAZ EVENTS INC,ADVANCED EXERCISE EQUIPMENT INC,5815 W SUNSET BLVD   SUITE #104,LOS ANGELES,90028-6481,5815 SUNSET 90028-6481,280 S BEVERLY DRIVE   SUITE #505,BEVERLY HILLS,90212-3908,722300,Special food services (including food service contractors & caterers),13,1/9/2012,,"(34.0981, -118.3162)",
0002900652-0001-3,JOSEFINA MORENO,MORENO JEWLERY SALES,11932   COMETA AVENUE,PACOIMA,91331-1019,11932 COMETA 91331-1019,7060 HOLLYWOOD BLVD FLOOR #8TH,LOS ANGELES,90028-6021,423940,"Jewelry, watch, precious stone, & precious metals",7,3/15/2016,,"(34.2871, -118.4128)",
0002552383-0001-9,TRAILER TRASH INC,NICK CAMPBELL,500 S SEPULVEDA BLVD   SUITE #303,LOS ANGELES,90049-3549,500 SEPULVEDA 90049-3549,500 S SEPULVEDA BLVD SUITE #303,LOS ANGELES,90049-3549,711510,"Independent artists, writers, & performers",5,1/1/2011,,"(34.0661, -118.4598)",
0003004576-0001-5,"6257 KESTER AVE, LLC",TRAUMA SURVIVORS TREATMENT AND RESEARCH CENTER,5482   WILSHIRE BLVD   SUITE #164,LOS ANGELES,90036-4218,5482 WILSHIRE 90036,POST OFFICE BOX #360799,LOS ANGELES,90036-1299,621111,Offices of physicians (except mental health specialists),4,8/29/2017,,"(34.0622, -118.3479)",
0002918255-0001-9,ARON NUSSBAUM,ARON NUSSBAU STUDIO,5356 W PICO BLVD,LOS ANGELES,90019-4036,5356 PICO 90019-4036,1133   MASSELIN AVENUE,LOS ANGELES,90019-2519,541320,Landscape architecture services,10,1/1/2014,,"(34.0482, -118.3551)",
0002836465-0001-1,COMMUNITY INTEGRATED WORK PROGRAM INC,ORDWAY METAL POLISHING,3701 STOCKER STREET SUITE #203,LOS ANGELES,90008-5144,3701 STOCKER 90008-5144,2219   BUCHANAN ROAD   SUITE #3,ANTIOCH,94509-4200,541990,"All other professional, scientific, & technical services",8,7/1/2015,,"(34.0073, -118.3372)",
0002918844-0001-0,JEREMY F JONES,J J DELI,3636 S EMILY STREET,SAN PEDRO,90731-6422,3636 EMILY 90731-6422,1601 S VERMONT AVENUE   OFFICE #103,LOS ANGELES,90006-4541,711210,Spectator sports (including professional sports clubs & racetrack operations),15,6/27/2016,,"(33.7135, -118.3012)",
0000216870-0001-1,ASHTON/ASSOCIATES INC,ASHTON & ASSOCIATES,6009 JUMILLA AVENUE,WOODLAND HILLS,91367-5609,6009 JUMILLA 91367-5609,22747 DALE COURT,CHATSWORTH,91311-2634,532210,Consumer electronics & appliances rental,3,4/2/1985,,"(34.1796, -118.5639)",
0002186411-0001-9,JOHN C ARROYO,ARROYOWORKS,303 N HERBERT AVENUE,LOS ANGELES,90063-1811,303 HERBERT 90063-1811,229   VASSAR STREET,CAMBRIDGE,02139-4310,541600,"Management, scientific, & technical consulting services",0,8/1/2005,,"(34.0393, -118.1834)",
0003001550-0001-9,FIRST SIGNAL INC.,1964 WESTWOOD LLC,135 S STATE COLLEGE BLVD   OFFICE #200,BREA,92821-5805,135 STATE COLLEGE 92821,2528 E SHACKLE LINE DRIVE,BREA,92821-7407,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",0,1/1/2017,,"(33.9204, -117.8837)",
0002990594-0001-6,JIMMY CASTANEDA,JIMMY CASTANEDA,108 S CATALINA STREET,LOS ANGELES,90004-4606,108 CATALINA 90004-4606,110 S CATALINA STREET,LOS ANGELES,90004-4606,531310,Real estate property managers,13,6/1/2017,,"(34.0724, -118.2951)",
0002598033-0001-5,REGINA ESCOBAR LAPENAS,ONE STOP LIQUOR MART,14740   ROSCOE BLVD   APARTMENT #17,PANORAMA CITY,91402-4163,14740 ROSCOE 91402-4163,14740   ROSCOE BLVD   APARTMENT #17,PANORAMA CITY,91402-4163,621610,Home health care services,6,7/1/2011,,"(34.221, -118.4546)",
0002789624-0001-7,DIDIM FOOD USA INC,,3460 W 8TH STREET,LOS ANGELES,90005-2518,3460 8TH 90005-2518,1164 E VALENCIA DRIVE,FULLERTON,92831-4627,722110,Full-service restaurants,10,11/12/2014,,"(34.0576, -118.3053)",
0002984490-0001-2,"BLU SKIN CARE, LLC",L & C EDUCENTER,4450 W 130TH STREET,HAWTHORNE,90250-5143,4450 130TH 90250-5143,12700   INGLEWOOD AVENUE   POST OFFICE BOX #1623,HAWTHORNE,90251-2406,323100,Printing & related support activities,0,7/19/2017,,"(33.9143, -118.354)",
0002959650-0001-1,CODY D MARION,SCULPTURE BY LAURA,4048   TUJUNGA AVENUE   APARTMENT #G,STUDIO CITY,91604-3095,4048 TUJUNGA 91604-3095,4048   TUJUNGA AVENUE   APARTMENT #G,STUDIO CITY,91604-3095,512100,Motion picture & video industries (except video rental),2,1/1/2017,,"(34.1418, -118.3784)",
0002925422-0001-5,CORPORATEDOORS INC,,6805   LOUISE AVENUE   #413,VAN NUYS,91406-4401,6805 LOUISE 91406-4401,1200 N MCCADDEN PLACE   #4,LOS ANGELES,90038-1238,541990,"All other professional, scientific, & technical services",6,8/4/2016,,"(34.1943, -118.5102)",
0002860336-0001-2,YU KAI FU SHI INC,QORUS,1050   STANFORD AVENUE   SUITE #204,LOS ANGELES,90021-2056,1050 STANFORD 90021-2056,POST OFFICE BOX #628,CULVER CITY,90232-0628,424300,"Apparel, piece goods, & notions",14,7/31/2015,,"(34.0331, -118.2486)",
0002899189-0001-2,WILLET CREEK INC,LAW OFFICE OF THOMAS C SEABAUGH,16000   VENTURA BLVD   SUITE #410,ENCINO,91436-2753,16000 VENTURA 91436-2753,714 W OLYMPIC BLVD SUITE #1106,LOS ANGELES,90015-1443,512100,Motion picture & video industries (except video rental),5,12/31/2015,,"(34.1556, -118.4819)",
0002977438-0001-2,CWT GROUP LLC,PYNANHAN HOUSE,8495 W 3RD STREET   #C,LOS ANGELES,90048-4181,8495 3RD 90048-4181,675 S CENTRAL AVENUE,LOS ANGELES,90021-1050,722211,Limited-service eating places,5,3/20/2017,,"(34.0737, -118.3762)",
0000967268-0001-1,WAUSOU FINANCIAL SYSTEMS INC,101 SMOKE SHOP,875 INDIANHEAD DRIVE,MOSINEE,54455-8215,875 INDIANHEAD 54455-8215,POST OFFICE BOX #119,WAUSAU,54402-0119,443120,Computer & software stores,0,6/9/1994,,"(44.7932, -89.6704)",
0002408063-0001-3,GONZALO A. VASQUEZ,TAX CONTROVERSY SERVICE,8951   AMIGO AVENUE,NORTHRIDGE,91324-3902,8951 AMIGO 91324-3902,8951 AMIGO AVENUE,NORTHRIDGE,91324-3902,541213,Tax preparation services,12,1/1/2008,,"(34.2334, -118.5384)",
0002219914-0001-6,KINDER PEDIATRIC DENTAL SPECIALISTS,"EDWARD E. DOVE, DDS PC",20523 DEVONSHIRE STREET,CHATSWORTH,91311-3208,20523 DEVONSHIRE 91311-3208,3130   UNION AVENUE,BAKERSFIELD,93305-3443,621210,Offices of dentists,12,1/1/2007,,"(34.2572, -118.5807)",
0002847621-0001-9,"THEATREDNA, LLC",AYALAS GARDENING SERVICES,453 S SPRING STREET #1230,LOS ANGELES,90013-2554,453 SPRING 90013-2554,10623 WEIGAND AVENUE,LOS ANGELES,90002-3869,999999,Unclassified establishments (unable to classify),14,12/18/2014,,"(34.048, -118.2489)",
0002982104-0001-9,COSMIN MIHAITA,,1960 S GARTH AVENUE   UNIT #2,LOS ANGELES,90034-1537,1960 GARTH 90034-1537,,,,812990,All other personal services,10,1/1/2015,,"(34.0414, -118.3786)",
0002978383-0001-7,JOSEPH FEDOROWICH,WESTERN CARTOGRAPHIC,1649   MICHELTORENA STREET,LOS ANGELES,90026-1623,1649 MICHELTORENA 90026-1623,18371 DONMETZ STREET,NORTHRIDGE,91326-2516,541600,"Management, scientific, & technical consulting services",13,2/3/2016,,"(34.0912, -118.2739)",
0002971398-0001-2,AUTO CRAFT COLLISION LLC,MAJOR FRENCH CLEANERS,21034   SHERMAN WAY,CANOGA PARK,91303-1745,21034 SHERMAN 91303-1745,POST OFFICE BOX #800881,SANTA CLARITA,91380-0881,811110,Automotive mechanical & electrical repair & maintenance,3,2/14/2017,,"(34.2005, -118.5918)",
0002920788-0001-2,PACIFIC APPLIANCE CLINIC LLC,"PACIFIC COAST APPLIANCE REPAIR, PCAR",13535   VALERIO STREET   APARTMENT #259,VAN NUYS,91405-2723,13535 VALERIO 91405-2723,3374 OAKMONT VIEW DRIVE,GLENDALE,91208-1158,811410,Home & garden equipment & appliance repair & maintenance,2,7/12/2016,,"(34.2052, -118.428)",
